
permutación 01234, P_n = 0
permutación 1235046, P_n = 4
permutación 1235064, P_n = 5
permutación 1235406, P_n = 3
permutación 1235460, P_n = 5
permutación 1235604, P_n = 4
permutación 1235640, P_n = 4
permutación 1236045, P_n = 4
permutación 1236054, P_n = 5
permutación 1236405, P_n = 5
permutación 1236450, P_n = 4
permutación 1236504, P_n = 5
permutación 1236540, P_n = 3
permutación 1240356, P_n = 4
permutación 1240365, P_n = 6
permutación 1240536, P_n = 5
permutación 1240563, P_n = 5
permutación 1240635, P_n = 6
permutación 1240653, P_n = 6
permutación 1243056, P_n = 3
permutación 1243065, P_n = 5
permutación 1243506, P_n = 5
permutación 1243560, P_n = 5
permutación 1243605, P_n = 5
permutación 1243650, P_n = 5
permutación 1245036, P_n = 4
permutación 1245063, P_n = 6
permutación 1245306, P_n = 4
permutación 1245360, P_n = 5
permutación 1245603, P_n = 4
permutación 1245630, P_n = 4
permutación 1246035, P_n = 6
permutación 1246053, P_n = 6
permutación 1246305, P_n = 6
permutación 1246350, P_n = 6
permutación 1246503, P_n = 5
permutación 1246530, P_n = 5
permutación 1250346, P_n = 4
permutación 1250364, P_n = 6
permutación 1250436, P_n = 5
permutación 1250463, P_n = 6
permutación 1250634, P_n = 6
permutación 1250643, P_n = 5
permutación 1253046, P_n = 5
permutación 1253064, P_n = 6
permutación 1253406, P_n = 4
permutación 1253460, P_n = 5
permutación 1253604, P_n = 6
permutación 1253640, P_n = 6
permutación 1254036, P_n = 5
permutación 1254063, P_n = 5
permutación 1254306, P_n = 3
permutación 1254360, P_n = 5
permutación 1254603, P_n = 6
permutación 1254630, P_n = 5
permutación 1256034, P_n = 4
permutación 1256043, P_n = 5
permutación 1256304, P_n = 6
permutación 1256340, P_n = 5
permutación 1256403, P_n = 6
permutación 1256430, P_n = 4
permutación 1260345, P_n = 4
permutación 1260354, P_n = 5
permutación 1260435, P_n = 6
permutación 1260453, P_n = 6
permutación 1260534, P_n = 6
permutación 1260543, P_n = 5
permutación 1263045, P_n = 5
permutación 1263054, P_n = 6
permutación 1263405, P_n = 6
permutación 1263450, P_n = 4
permutación 1263504, P_n = 6
permutación 1263540, P_n = 5
permutación 1264035, P_n = 6
permutación 1264053, P_n = 7
permutación 1264305, P_n = 5
permutación 1264350, P_n = 5
permutación 1264503, P_n = 6
permutación 1264530, P_n = 6
permutación 1265034, P_n = 5
permutación 1265043, P_n = 5
permutación 1265304, P_n = 5
permutación 1265340, P_n = 4
permutación 1265403, P_n = 5
permutación 1265430, P_n = 3
permutación 1302456, P_n = 4
permutación 1302465, P_n = 7
permutación 1302546, P_n = 6
permutación 1302564, P_n = 6
permutación 1302645, P_n = 6
permutación 1302654, P_n = 6
permutación 1304256, P_n = 5
permutación 1304265, P_n = 7
permutación 1304526, P_n = 5
permutación 1304562, P_n = 5
permutación 1304625, P_n = 7
permutación 1304652, P_n = 6
permutación 1305246, P_n = 6
permutación 1305264, P_n = 7
permutación 1305426, P_n = 6
permutación 1305462, P_n = 7
permutación 1305624, P_n = 6
permutación 1305642, P_n = 6
permutación 1306245, P_n = 6
permutación 1306254, P_n = 6
permutación 1306425, P_n = 7
permutación 1306452, P_n = 6
permutación 1306524, P_n = 7
permutación 1306542, P_n = 6
permutación 1320456, P_n = 3
permutación 1320465, P_n = 6
permutación 1320546, P_n = 5
permutación 1320564, P_n = 5
permutación 1320645, P_n = 5
permutación 1320654, P_n = 6
permutación 1324056, P_n = 5
permutación 1324065, P_n = 7
permutación 1324506, P_n = 5
permutación 1324560, P_n = 5
permutación 1324605, P_n = 7
permutación 1324650, P_n = 6
permutación 1325046, P_n = 5
permutación 1325064, P_n = 7
permutación 1325406, P_n = 5
permutación 1325460, P_n = 7
permutación 1325604, P_n = 5
permutación 1325640, P_n = 6
permutación 1326045, P_n = 5
permutación 1326054, P_n = 6
permutación 1326405, P_n = 7
permutación 1326450, P_n = 6
permutación 1326504, P_n = 6
permutación 1326540, P_n = 5
permutación 1340256, P_n = 4
permutación 1340265, P_n = 6
permutación 1340526, P_n = 5
permutación 1340562, P_n = 5
permutación 1340625, P_n = 6
permutación 1340652, P_n = 6
permutación 1342056, P_n = 4
permutación 1342065, P_n = 6
permutación 1342506, P_n = 5
permutación 1342560, P_n = 5
permutación 1342605, P_n = 6
permutación 1342650, P_n = 5
permutación 1345026, P_n = 4
permutación 1345062, P_n = 5
permutación 1345206, P_n = 4
permutación 1345260, P_n = 5
permutación 1345602, P_n = 4
permutación 1345620, P_n = 4
permutación 1346025, P_n = 6
permutación 1346052, P_n = 6
permutación 1346205, P_n = 6
permutación 1346250, P_n = 6
permutación 1346502, P_n = 5
permutación 1346520, P_n = 5
permutación 1350246, P_n = 6
permutación 1350264, P_n = 7
permutación 1350426, P_n = 6
permutación 1350462, P_n = 7
permutación 1350624, P_n = 7
permutación 1350642, P_n = 7
permutación 1352046, P_n = 6
permutación 1352064, P_n = 7
permutación 1352406, P_n = 6
permutación 1352460, P_n = 7
permutación 1352604, P_n = 7
permutación 1352640, P_n = 7
permutación 1354026, P_n = 5
permutación 1354062, P_n = 6
permutación 1354206, P_n = 5
permutación 1354260, P_n = 6
permutación 1354602, P_n = 7
permutación 1354620, P_n = 7
permutación 1356024, P_n = 6
permutación 1356042, P_n = 6
permutación 1356204, P_n = 6
permutación 1356240, P_n = 6
permutación 1356402, P_n = 6
permutación 1356420, P_n = 6
permutación 1360245, P_n = 6
permutación 1360254, P_n = 7
permutación 1360425, P_n = 7
permutación 1360452, P_n = 6
permutación 1360524, P_n = 7
permutación 1360542, P_n = 6
permutación 1362045, P_n = 6
permutación 1362054, P_n = 7
permutación 1362405, P_n = 7
permutación 1362450, P_n = 6
permutación 1362504, P_n = 7
permutación 1362540, P_n = 6
permutación 1364025, P_n = 7
permutación 1364052, P_n = 7
permutación 1364205, P_n = 7
permutación 1364250, P_n = 7
permutación 1364502, P_n = 6
permutación 1364520, P_n = 6
permutación 1365024, P_n = 6
permutación 1365042, P_n = 6
permutación 1365204, P_n = 6
permutación 1365240, P_n = 6
permutación 1365402, P_n = 5
permutación 1365420, P_n = 5
permutación 1402356, P_n = 4
permutación 1402365, P_n = 6
permutación 1402536, P_n = 6
permutación 1402563, P_n = 6
permutación 1402635, P_n = 7
permutación 1402653, P_n = 7
permutación 1403256, P_n = 5
permutación 1403265, P_n = 7
permutación 1403526, P_n = 6
permutación 1403562, P_n = 6
permutación 1403625, P_n = 7
permutación 1403652, P_n = 6
permutación 1405236, P_n = 5
permutación 1405263, P_n = 7
permutación 1405326, P_n = 5
permutación 1405362, P_n = 7
permutación 1405623, P_n = 5
permutación 1405632, P_n = 5
permutación 1406235, P_n = 6
permutación 1406253, P_n = 7
permutación 1406325, P_n = 7
permutación 1406352, P_n = 7
permutación 1406523, P_n = 6
permutación 1406532, P_n = 6
permutación 1420356, P_n = 5
permutación 1420365, P_n = 7
permutación 1420536, P_n = 6
permutación 1420563, P_n = 6
permutación 1420635, P_n = 7
permutación 1420653, P_n = 7
permutación 1423056, P_n = 4
permutación 1423065, P_n = 6
permutación 1423506, P_n = 5
permutación 1423560, P_n = 5
permutación 1423605, P_n = 6
permutación 1423650, P_n = 5
permutación 1425036, P_n = 6
permutación 1425063, P_n = 7
permutación 1425306, P_n = 6
permutación 1425360, P_n = 7
permutación 1425603, P_n = 6
permutación 1425630, P_n = 6
permutación 1426035, P_n = 7
permutación 1426053, P_n = 7
permutación 1426305, P_n = 7
permutación 1426350, P_n = 7
permutación 1426503, P_n = 7
permutación 1426530, P_n = 6
permutación 1430256, P_n = 4
permutación 1430265, P_n = 6
permutación 1430526, P_n = 5
permutación 1430562, P_n = 5
permutación 1430625, P_n = 6
permutación 1430652, P_n = 6
permutación 1432056, P_n = 3
permutación 1432065, P_n = 5
permutación 1432506, P_n = 5
permutación 1432560, P_n = 5
permutación 1432605, P_n = 5
permutación 1432650, P_n = 6
permutación 1435026, P_n = 6
permutación 1435062, P_n = 7
permutación 1435206, P_n = 5
permutación 1435260, P_n = 6
permutación 1435602, P_n = 6
permutación 1435620, P_n = 5
permutación 1436025, P_n = 6
permutación 1436052, P_n = 7
permutación 1436205, P_n = 6
permutación 1436250, P_n = 7
permutación 1436502, P_n = 6
permutación 1436520, P_n = 6
permutación 1450236, P_n = 4
permutación 1450263, P_n = 6
permutación 1450326, P_n = 5
permutación 1450362, P_n = 6
permutación 1450623, P_n = 5
permutación 1450632, P_n = 6
permutación 1452036, P_n = 5
permutación 1452063, P_n = 6
permutación 1452306, P_n = 5
permutación 1452360, P_n = 5
permutación 1452603, P_n = 6
permutación 1452630, P_n = 6
permutación 1453026, P_n = 5
permutación 1453062, P_n = 6
permutación 1453206, P_n = 4
permutación 1453260, P_n = 6
permutación 1453602, P_n = 6
permutación 1453620, P_n = 6
permutación 1456023, P_n = 4
permutación 1456032, P_n = 5
permutación 1456203, P_n = 5
permutación 1456230, P_n = 5
permutación 1456302, P_n = 5
permutación 1456320, P_n = 4
permutación 1460235, P_n = 6
permutación 1460253, P_n = 7
permutación 1460325, P_n = 7
permutación 1460352, P_n = 7
permutación 1460523, P_n = 6
permutación 1460532, P_n = 7
permutación 1462035, P_n = 7
permutación 1462053, P_n = 7
permutación 1462305, P_n = 6
permutación 1462350, P_n = 6
permutación 1462503, P_n = 7
permutación 1462530, P_n = 7
permutación 1463025, P_n = 7
permutación 1463052, P_n = 7
permutación 1463205, P_n = 6
permutación 1463250, P_n = 6
permutación 1463502, P_n = 7
permutación 1463520, P_n = 7
permutación 1465023, P_n = 5
permutación 1465032, P_n = 6
permutación 1465203, P_n = 6
permutación 1465230, P_n = 6
permutación 1465302, P_n = 6
permutación 1465320, P_n = 5
permutación 1502346, P_n = 4
permutación 1502364, P_n = 6
permutación 1502436, P_n = 5
permutación 1502463, P_n = 7
permutación 1502634, P_n = 6
permutación 1502643, P_n = 7
permutación 1503246, P_n = 6
permutación 1503264, P_n = 7
permutación 1503426, P_n = 5
permutación 1503462, P_n = 6
permutación 1503624, P_n = 7
permutación 1503642, P_n = 7
permutación 1504236, P_n = 5
permutación 1504263, P_n = 7
permutación 1504326, P_n = 5
permutación 1504362, P_n = 7
permutación 1504623, P_n = 6
permutación 1504632, P_n = 7
permutación 1506234, P_n = 5
permutación 1506243, P_n = 6
permutación 1506324, P_n = 7
permutación 1506342, P_n = 7
permutación 1506423, P_n = 6
permutación 1506432, P_n = 5
permutación 1520346, P_n = 5
permutación 1520364, P_n = 7
permutación 1520436, P_n = 6
permutación 1520463, P_n = 7
permutación 1520634, P_n = 6
permutación 1520643, P_n = 6
permutación 1523046, P_n = 5
permutación 1523064, P_n = 6
permutación 1523406, P_n = 4
permutación 1523460, P_n = 5
permutación 1523604, P_n = 6
permutación 1523640, P_n = 6
permutación 1524036, P_n = 6
permutación 1524063, P_n = 7
permutación 1524306, P_n = 5
permutación 1524360, P_n = 6
permutación 1524603, P_n = 7
permutación 1524630, P_n = 7
permutación 1526034, P_n = 6
permutación 1526043, P_n = 7
permutación 1526304, P_n = 7
permutación 1526340, P_n = 6
permutación 1526403, P_n = 7
permutación 1526430, P_n = 6
permutación 1530246, P_n = 6
permutación 1530264, P_n = 7
permutación 1530426, P_n = 6
permutación 1530462, P_n = 7
permutación 1530624, P_n = 7
permutación 1530642, P_n = 7
permutación 1532046, P_n = 5
permutación 1532064, P_n = 6
permutación 1532406, P_n = 5
permutación 1532460, P_n = 6
permutación 1532604, P_n = 7
permutación 1532640, P_n = 7
permutación 1534026, P_n = 6
permutación 1534062, P_n = 6
permutación 1534206, P_n = 6
permutación 1534260, P_n = 7
permutación 1534602, P_n = 6
permutación 1534620, P_n = 6
permutación 1536024, P_n = 7
permutación 1536042, P_n = 8
permutación 1536204, P_n = 7
permutación 1536240, P_n = 7
permutación 1536402, P_n = 7
permutación 1536420, P_n = 7
permutación 1540236, P_n = 4
permutación 1540263, P_n = 6
permutación 1540326, P_n = 5
permutación 1540362, P_n = 6
permutación 1540623, P_n = 6
permutación 1540632, P_n = 5
permutación 1542036, P_n = 5
permutación 1542063, P_n = 6
permutación 1542306, P_n = 4
permutación 1542360, P_n = 6
permutación 1542603, P_n = 7
permutación 1542630, P_n = 6
permutación 1543026, P_n = 4
permutación 1543062, P_n = 5
permutación 1543206, P_n = 3
permutación 1543260, P_n = 5
permutación 1543602, P_n = 6
permutación 1543620, P_n = 5
permutación 1546023, P_n = 6
permutación 1546032, P_n = 6
permutación 1546203, P_n = 7
permutación 1546230, P_n = 6
permutación 1546302, P_n = 6
permutación 1546320, P_n = 5
permutación 1560234, P_n = 4
permutación 1560243, P_n = 5
permutación 1560324, P_n = 6
permutación 1560342, P_n = 6
permutación 1560423, P_n = 6
permutación 1560432, P_n = 5
permutación 1562034, P_n = 5
permutación 1562043, P_n = 6
permutación 1562304, P_n = 5
permutación 1562340, P_n = 5
permutación 1562403, P_n = 6
permutación 1562430, P_n = 6
permutación 1563024, P_n = 6
permutación 1563042, P_n = 7
permutación 1563204, P_n = 6
permutación 1563240, P_n = 6
permutación 1563402, P_n = 6
permutación 1563420, P_n = 6
permutación 1564023, P_n = 5
permutación 1564032, P_n = 6
permutación 1564203, P_n = 6
permutación 1564230, P_n = 5
permutación 1564302, P_n = 5
permutación 1564320, P_n = 4
permutación 1602345, P_n = 4
permutación 1602354, P_n = 5
permutación 1602435, P_n = 7
permutación 1602453, P_n = 6
permutación 1602534, P_n = 6
permutación 1602543, P_n = 5
permutación 1603245, P_n = 6
permutación 1603254, P_n = 7
permutación 1603425, P_n = 6
permutación 1603452, P_n = 5
permutación 1603524, P_n = 7
permutación 1603542, P_n = 6
permutación 1604235, P_n = 6
permutación 1604253, P_n = 7
permutación 1604325, P_n = 7
permutación 1604352, P_n = 7
permutación 1604523, P_n = 5
permutación 1604532, P_n = 6
permutación 1605234, P_n = 5
permutación 1605243, P_n = 6
permutación 1605324, P_n = 7
permutación 1605342, P_n = 7
permutación 1605423, P_n = 6
permutación 1605432, P_n = 5
permutación 1620345, P_n = 5
permutación 1620354, P_n = 6
permutación 1620435, P_n = 7
permutación 1620453, P_n = 6
permutación 1620534, P_n = 6
permutación 1620543, P_n = 6
permutación 1623045, P_n = 5
permutación 1623054, P_n = 6
permutación 1623405, P_n = 5
permutación 1623450, P_n = 4
permutación 1623504, P_n = 6
permutación 1623540, P_n = 5
permutación 1624035, P_n = 7
permutación 1624053, P_n = 7
permutación 1624305, P_n = 6
permutación 1624350, P_n = 7
permutación 1624503, P_n = 6
permutación 1624530, P_n = 6
permutación 1625034, P_n = 6
permutación 1625043, P_n = 6
permutación 1625304, P_n = 7
permutación 1625340, P_n = 6
permutación 1625403, P_n = 6
permutación 1625430, P_n = 5
permutación 1630245, P_n = 6
permutación 1630254, P_n = 7
permutación 1630425, P_n = 7
permutación 1630452, P_n = 6
permutación 1630524, P_n = 7
permutación 1630542, P_n = 7
permutación 1632045, P_n = 5
permutación 1632054, P_n = 6
permutación 1632405, P_n = 7
permutación 1632450, P_n = 5
permutación 1632504, P_n = 7
permutación 1632540, P_n = 6
permutación 1634025, P_n = 6
permutación 1634052, P_n = 7
permutación 1634205, P_n = 6
permutación 1634250, P_n = 6
permutación 1634502, P_n = 6
permutación 1634520, P_n = 6
permutación 1635024, P_n = 7
permutación 1635042, P_n = 7
permutación 1635204, P_n = 7
permutación 1635240, P_n = 7
permutación 1635402, P_n = 6
permutación 1635420, P_n = 6
permutación 1640235, P_n = 6
permutación 1640253, P_n = 7
permutación 1640325, P_n = 7
permutación 1640352, P_n = 7
permutación 1640523, P_n = 6
permutación 1640532, P_n = 7
permutación 1642035, P_n = 7
permutación 1642053, P_n = 7
permutación 1642305, P_n = 6
permutación 1642350, P_n = 6
permutación 1642503, P_n = 7
permutación 1642530, P_n = 7
permutación 1643025, P_n = 6
permutación 1643052, P_n = 6
permutación 1643205, P_n = 5
permutación 1643250, P_n = 5
permutación 1643502, P_n = 6
permutación 1643520, P_n = 6
permutación 1645023, P_n = 6
permutación 1645032, P_n = 6
permutación 1645203, P_n = 7
permutación 1645230, P_n = 6
permutación 1645302, P_n = 7
permutación 1645320, P_n = 6
permutación 1650234, P_n = 4
permutación 1650243, P_n = 5
permutación 1650324, P_n = 6
permutación 1650342, P_n = 5
permutación 1650423, P_n = 5
permutación 1650432, P_n = 5
permutación 1652034, P_n = 5
permutación 1652043, P_n = 6
permutación 1652304, P_n = 6
permutación 1652340, P_n = 4
permutación 1652403, P_n = 6
permutación 1652430, P_n = 5
permutación 1653024, P_n = 6
permutación 1653042, P_n = 6
permutación 1653204, P_n = 5
permutación 1653240, P_n = 5
permutación 1653402, P_n = 6
permutación 1653420, P_n = 6
permutación 1654023, P_n = 4
permutación 1654032, P_n = 5
permutación 1654203, P_n = 5
permutación 1654230, P_n = 4
permutación 1654302, P_n = 4
permutación 1654320, P_n = 3
permutación 2013456, P_n = 2
permutación 2013465, P_n = 5
permutación 2013546, P_n = 5
permutación 2013564, P_n = 6
permutación 2013645, P_n = 6
permutación 2013654, P_n = 5
permutación 2014356, P_n = 4
permutación 2014365, P_n = 6
permutación 2014536, P_n = 4
permutación 2014563, P_n = 4
permutación 2014635, P_n = 6
permutación 2014653, P_n = 5
permutación 2015346, P_n = 4
permutación 2015364, P_n = 6
permutación 2015436, P_n = 5
permutación 2015463, P_n = 6
permutación 2015634, P_n = 4
permutación 2015643, P_n = 5
permutación 2016345, P_n = 4
permutación 2016354, P_n = 5
permutación 2016435, P_n = 6
permutación 2016453, P_n = 6
permutación 2016534, P_n = 5
permutación 2016543, P_n = 5
permutación 2031456, P_n = 4
permutación 2031465, P_n = 7
permutación 2031546, P_n = 6
permutación 2031564, P_n = 6
permutación 2031645, P_n = 6
permutación 2031654, P_n = 6
permutación 2034156, P_n = 4
permutación 2034165, P_n = 6
permutación 2034516, P_n = 4
permutación 2034561, P_n = 4
permutación 2034615, P_n = 6
permutación 2034651, P_n = 5
permutación 2035146, P_n = 6
permutación 2035164, P_n = 7
permutación 2035416, P_n = 5
permutación 2035461, P_n = 7
permutación 2035614, P_n = 6
permutación 2035641, P_n = 6
permutación 2036145, P_n = 6
permutación 2036154, P_n = 7
permutación 2036415, P_n = 7
permutación 2036451, P_n = 6
permutación 2036514, P_n = 7
permutación 2036541, P_n = 5
permutación 2041356, P_n = 5
permutación 2041365, P_n = 7
permutación 2041536, P_n = 6
permutación 2041563, P_n = 6
permutación 2041635, P_n = 7
permutación 2041653, P_n = 6
permutación 2043156, P_n = 5
permutación 2043165, P_n = 7
permutación 2043516, P_n = 6
permutación 2043561, P_n = 6
permutación 2043615, P_n = 7
permutación 2043651, P_n = 7
permutación 2045136, P_n = 5
permutación 2045163, P_n = 6
permutación 2045316, P_n = 5
permutación 2045361, P_n = 6
permutación 2045613, P_n = 5
permutación 2045631, P_n = 5
permutación 2046135, P_n = 7
permutación 2046153, P_n = 7
permutación 2046315, P_n = 7
permutación 2046351, P_n = 7
permutación 2046513, P_n = 6
permutación 2046531, P_n = 6
permutación 2051346, P_n = 5
permutación 2051364, P_n = 7
permutación 2051436, P_n = 6
permutación 2051463, P_n = 7
permutación 2051634, P_n = 6
permutación 2051643, P_n = 7
permutación 2053146, P_n = 6
permutación 2053164, P_n = 7
permutación 2053416, P_n = 5
permutación 2053461, P_n = 6
permutación 2053614, P_n = 7
permutación 2053641, P_n = 7
permutación 2054136, P_n = 5
permutación 2054163, P_n = 7
permutación 2054316, P_n = 5
permutación 2054361, P_n = 7
permutación 2054613, P_n = 7
permutación 2054631, P_n = 7
permutación 2056134, P_n = 5
permutación 2056143, P_n = 6
permutación 2056314, P_n = 6
permutación 2056341, P_n = 5
permutación 2056413, P_n = 6
permutación 2056431, P_n = 6
permutación 2061345, P_n = 5
permutación 2061354, P_n = 6
permutación 2061435, P_n = 7
permutación 2061453, P_n = 6
permutación 2061534, P_n = 6
permutación 2061543, P_n = 6
permutación 2063145, P_n = 6
permutación 2063154, P_n = 6
permutación 2063415, P_n = 6
permutación 2063451, P_n = 5
permutación 2063514, P_n = 7
permutación 2063541, P_n = 6
permutación 2064135, P_n = 7
permutación 2064153, P_n = 7
permutación 2064315, P_n = 7
permutación 2064351, P_n = 7
permutación 2064513, P_n = 7
permutación 2064531, P_n = 7
permutación 2065134, P_n = 5
permutación 2065143, P_n = 6
permutación 2065314, P_n = 7
permutación 2065341, P_n = 6
permutación 2065413, P_n = 5
permutación 2065431, P_n = 5
permutación 2103456, P_n = 1
permutación 2103465, P_n = 4
permutación 2103546, P_n = 4
permutación 2103564, P_n = 5
permutación 2103645, P_n = 5
permutación 2103654, P_n = 4
permutación 2104356, P_n = 3
permutación 2104365, P_n = 5
permutación 2104536, P_n = 3
permutación 2104563, P_n = 3
permutación 2104635, P_n = 5
permutación 2104653, P_n = 4
permutación 2105346, P_n = 3
permutación 2105364, P_n = 5
permutación 2105436, P_n = 4
permutación 2105463, P_n = 5
permutación 2105634, P_n = 3
permutación 2105643, P_n = 4
permutación 2106345, P_n = 3
permutación 2106354, P_n = 4
permutación 2106435, P_n = 5
permutación 2106453, P_n = 5
permutación 2106534, P_n = 4
permutación 2106543, P_n = 4
permutación 2130456, P_n = 3
permutación 2130465, P_n = 6
permutación 2130546, P_n = 5
permutación 2130564, P_n = 5
permutación 2130645, P_n = 5
permutación 2130654, P_n = 6
permutación 2134056, P_n = 3
permutación 2134065, P_n = 5
permutación 2134506, P_n = 3
permutación 2134560, P_n = 3
permutación 2134605, P_n = 5
permutación 2134650, P_n = 4
permutación 2135046, P_n = 5
permutación 2135064, P_n = 6
permutación 2135406, P_n = 4
permutación 2135460, P_n = 6
permutación 2135604, P_n = 5
permutación 2135640, P_n = 5
permutación 2136045, P_n = 5
permutación 2136054, P_n = 6
permutación 2136405, P_n = 6
permutación 2136450, P_n = 5
permutación 2136504, P_n = 6
permutación 2136540, P_n = 4
permutación 2140356, P_n = 4
permutación 2140365, P_n = 6
permutación 2140536, P_n = 5
permutación 2140563, P_n = 5
permutación 2140635, P_n = 6
permutación 2140653, P_n = 6
permutación 2143056, P_n = 4
permutación 2143065, P_n = 6
permutación 2143506, P_n = 5
permutación 2143560, P_n = 5
permutación 2143605, P_n = 6
permutación 2143650, P_n = 6
permutación 2145036, P_n = 5
permutación 2145063, P_n = 5
permutación 2145306, P_n = 5
permutación 2145360, P_n = 5
permutación 2145603, P_n = 5
permutación 2145630, P_n = 5
permutación 2146035, P_n = 6
permutación 2146053, P_n = 6
permutación 2146305, P_n = 7
permutación 2146350, P_n = 6
permutación 2146503, P_n = 6
permutación 2146530, P_n = 6
permutación 2150346, P_n = 4
permutación 2150364, P_n = 6
permutación 2150436, P_n = 5
permutación 2150463, P_n = 6
permutación 2150634, P_n = 5
permutación 2150643, P_n = 6
permutación 2153046, P_n = 5
permutación 2153064, P_n = 7
permutación 2153406, P_n = 5
permutación 2153460, P_n = 5
permutación 2153604, P_n = 7
permutación 2153640, P_n = 6
permutación 2154036, P_n = 4
permutación 2154063, P_n = 6
permutación 2154306, P_n = 4
permutación 2154360, P_n = 6
permutación 2154603, P_n = 6
permutación 2154630, P_n = 6
permutación 2156034, P_n = 5
permutación 2156043, P_n = 6
permutación 2156304, P_n = 5
permutación 2156340, P_n = 5
permutación 2156403, P_n = 5
permutación 2156430, P_n = 5
permutación 2160345, P_n = 4
permutación 2160354, P_n = 5
permutación 2160435, P_n = 6
permutación 2160453, P_n = 5
permutación 2160534, P_n = 5
permutación 2160543, P_n = 5
permutación 2163045, P_n = 5
permutación 2163054, P_n = 6
permutación 2163405, P_n = 5
permutación 2163450, P_n = 5
permutación 2163504, P_n = 6
permutación 2163540, P_n = 6
permutación 2164035, P_n = 6
permutación 2164053, P_n = 6
permutación 2164305, P_n = 6
permutación 2164350, P_n = 6
permutación 2164503, P_n = 6
permutación 2164530, P_n = 7
permutación 2165034, P_n = 4
permutación 2165043, P_n = 5
permutación 2165304, P_n = 6
permutación 2165340, P_n = 5
permutación 2165403, P_n = 4
permutación 2165430, P_n = 4
permutación 2301456, P_n = 3
permutación 2301465, P_n = 6
permutación 2301546, P_n = 5
permutación 2301564, P_n = 5
permutación 2301645, P_n = 5
permutación 2301654, P_n = 5
permutación 2304156, P_n = 4
permutación 2304165, P_n = 6
permutación 2304516, P_n = 4
permutación 2304561, P_n = 4
permutación 2304615, P_n = 6
permutación 2304651, P_n = 5
permutación 2305146, P_n = 6
permutación 2305164, P_n = 6
permutación 2305416, P_n = 5
permutación 2305461, P_n = 6
permutación 2305614, P_n = 6
permutación 2305641, P_n = 6
permutación 2306145, P_n = 6
permutación 2306154, P_n = 6
permutación 2306415, P_n = 6
permutación 2306451, P_n = 6
permutación 2306514, P_n = 6
permutación 2306541, P_n = 5
permutación 2310456, P_n = 2
permutación 2310465, P_n = 5
permutación 2310546, P_n = 4
permutación 2310564, P_n = 4
permutación 2310645, P_n = 4
permutación 2310654, P_n = 5
permutación 2314056, P_n = 4
permutación 2314065, P_n = 6
permutación 2314506, P_n = 4
permutación 2314560, P_n = 4
permutación 2314605, P_n = 6
permutación 2314650, P_n = 5
permutación 2315046, P_n = 5
permutación 2315064, P_n = 6
permutación 2315406, P_n = 5
permutación 2315460, P_n = 6
permutación 2315604, P_n = 6
permutación 2315640, P_n = 6
permutación 2316045, P_n = 5
permutación 2316054, P_n = 6
permutación 2316405, P_n = 6
permutación 2316450, P_n = 6
permutación 2316504, P_n = 5
permutación 2316540, P_n = 5
permutación 2340156, P_n = 3
permutación 2340165, P_n = 5
permutación 2340516, P_n = 4
permutación 2340561, P_n = 4
permutación 2340615, P_n = 6
permutación 2340651, P_n = 5
permutación 2341056, P_n = 2
permutación 2341065, P_n = 4
permutación 2341506, P_n = 4
permutación 2341560, P_n = 4
permutación 2341605, P_n = 5
permutación 2341650, P_n = 5
permutación 2345016, P_n = 3
permutación 2345061, P_n = 4
permutación 2345106, P_n = 2
permutación 2345160, P_n = 4
permutación 2345601, P_n = 3
permutación 2345610, P_n = 2
permutación 2346015, P_n = 5
permutación 2346051, P_n = 5
permutación 2346105, P_n = 4
permutación 2346150, P_n = 5
permutación 2346501, P_n = 4
permutación 2346510, P_n = 3
permutación 2350146, P_n = 5
permutación 2350164, P_n = 6
permutación 2350416, P_n = 5
permutación 2350461, P_n = 6
permutación 2350614, P_n = 6
permutación 2350641, P_n = 6
permutación 2351046, P_n = 4
permutación 2351064, P_n = 5
permutación 2351406, P_n = 5
permutación 2351460, P_n = 6
permutación 2351604, P_n = 6
permutación 2351640, P_n = 6
permutación 2354016, P_n = 4
permutación 2354061, P_n = 5
permutación 2354106, P_n = 3
permutación 2354160, P_n = 5
permutación 2354601, P_n = 6
permutación 2354610, P_n = 5
permutación 2356014, P_n = 5
permutación 2356041, P_n = 6
permutación 2356104, P_n = 4
permutación 2356140, P_n = 5
permutación 2356401, P_n = 5
permutación 2356410, P_n = 4
permutación 2360145, P_n = 5
permutación 2360154, P_n = 5
permutación 2360415, P_n = 6
permutación 2360451, P_n = 6
permutación 2360514, P_n = 7
permutación 2360541, P_n = 5
permutación 2361045, P_n = 4
permutación 2361054, P_n = 5
permutación 2361405, P_n = 6
permutación 2361450, P_n = 6
permutación 2361504, P_n = 6
permutación 2361540, P_n = 5
permutación 2364015, P_n = 6
permutación 2364051, P_n = 6
permutación 2364105, P_n = 5
permutación 2364150, P_n = 6
permutación 2364501, P_n = 5
permutación 2364510, P_n = 4
permutación 2365014, P_n = 5
permutación 2365041, P_n = 5
permutación 2365104, P_n = 5
permutación 2365140, P_n = 5
permutación 2365401, P_n = 4
permutación 2365410, P_n = 3
permutación 2401356, P_n = 4
permutación 2401365, P_n = 6
permutación 2401536, P_n = 6
permutación 2401563, P_n = 6
permutación 2401635, P_n = 6
permutación 2401653, P_n = 6
permutación 2403156, P_n = 5
permutación 2403165, P_n = 7
